Diameter Average-Path-Length nodes initial rewiring
64 -1 714 2 0.6
78 -1 715 2 0.6
128 47.53324608352541 716 2 0.6
61 -1 717 2 0.6
49 -1 718 2 0.6
75 -1 719 2 0.6
97 -1 720 2 0.6
84 34.31795345970103 721 2 0.6
66 -1 722 2 0.6
77 31.68663195442198 723 2 0.6
57 -1 724 2 0.6
78 -1 725 2 0.6
58 -1 726 2 0.6
82 -1 727 2 0.6
61 -1 728 2 0.6
53 -1 729 2 0.6
82 -1 730 2 0.6
64 -1 731 2 0.6
63 -1 732 2 0.6
82 -1 733 2 0.6
64 -1 734 2 0.6
71 -1 735 2 0.6
64 -1 736 2 0.6
64 -1 737 2 0.6
71 32.8547138659989 738 2 0.6
55 -1 739 2 0.6
107 -1 740 2 0.6
90 -1 741 2 0.6
99 -1 742 2 0.6
57 -1 743 2 0.6
64 -1 744 2 0.6
79 -1 745 2 0.6
78 -1 746 2 0.6
71 -1 747 2 0.6
75 -1 748 2 0.6
67 29.739310167567453 749 2 0.6
70 -1 750 2 0.6
102 -1 751 2 0.6
72 -1 752 2 0.6
70 -1 753 2 0.6
79 -1 754 2 0.6
74 -1 755 2 0.6
88 32.95644206174008 756 2 0.6
52 -1 757 2 0.6
89 -1 758 2 0.6
69 -1 759 2 0.6
86 34.55999930656681 760 2 0.6
85 -1 761 2 0.6
84 32.696114036993734 762 2 0.6
97 -1 763 2 0.6
80 -1 764 2 0.6
72 -1 765 2 0.6
61 -1 766 2 0.6
61 -1 767 2 0.6
68 -1 768 2 0.6
75 -1 769 2 0.6
53 -1 770 2 0.6
91 -1 771 2 0.6
75 -1 772 2 0.6
70 -1 773 2 0.6
60 -1 774 2 0.6
52 -1 775 2 0.6
99 -1 776 2 0.6
71 -1 777 2 0.6
91 -1 778 2 0.6
71 -1 779 2 0.6
90 -1 780 2 0.6
70 -1 781 2 0.6
52 -1 782 2 0.6
79 -1 783 2 0.6
65 -1 784 2 0.6
64 -1 785 2 0.6
85 -1 786 2 0.6
70 -1 787 2 0.6
59 -1 788 2 0.6
82 -1 789 2 0.6
71 -1 790 2 0.6
51 -1 791 2 0.6
73 -1 792 2 0.6
84 -1 793 2 0.6
57 -1 794 2 0.6
90 -1 795 2 0.6
56 -1 796 2 0.6
59 -1 797 2 0.6
52 -1 798 2 0.6
54 -1 799 2 0.6
74 -1 800 2 0.6
97 -1 801 2 0.6
55 -1 802 2 0.6
71 -1 803 2 0.6
60 -1 804 2 0.6
73 -1 805 2 0.6
72 -1 806 2 0.6
88 -1 807 2 0.6
51 -1 808 2 0.6
54 -1 809 2 0.6
96 -1 810 2 0.6
93 39.487558417439224 811 2 0.6
72 -1 812 2 0.6
49 -1 813 2 0.6
91 -1 814 2 0.6
71 -1 815 2 0.6
63 -1 816 2 0.6
53 -1 817 2 0.6
54 -1 818 2 0.6
65 -1 819 2 0.6
78 -1 820 2 0.6
83 -1 821 2 0.6
70 -1 822 2 0.6
69 -1 823 2 0.6
