NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
187 113 0 5 0.3 0.3 0 51
168 132 0 10 0.3 0.3 0 51
173 127 0 15 0.3 0.3 0 51
178 122 0 20 0.3 0.3 0 51
172 128 0 25 0.3 0.3 0 51
177 123 0 30 0.3 0.3 0 51
191 109 0 35 0.3 0.3 0 51
169 131 0 40 0.3 0.3 0 51
191 109 0 45 0.3 0.3 0 51
166 134 0 50 0.3 0.3 0 51
213 87 0 55 0.3 0.3 0 51
175 125 0 60 0.3 0.3 0 51
182 118 0 65 0.3 0.3 0 51
204 96 0 70 0.3 0.3 0 51
176 124 0 75 0.3 0.3 0 51
174 126 0 80 0.3 0.3 0 51
196 104 0 85 0.3 0.3 0 51
186 114 0 90 0.3 0.3 0 51
187 113 0 95 0.3 0.3 0 51
207 93 0 100 0.3 0.3 0 51
191 109 0 105 0.3 0.3 0 51
179 121 0 110 0.3 0.3 0 51
181 119 0 115 0.3 0.3 0 51
216 84 0 120 0.3 0.3 0 51
199 101 0 125 0.3 0.3 0 51
181 119 0 130 0.3 0.3 0 51
195 105 0 135 0.3 0.3 0 51
184 116 0 140 0.3 0.3 0 51
168 132 0 145 0.3 0.3 0 51
300 0 0 0 0.3 0.3 0 56
204 96 0 5 0.3 0.3 0 56
195 105 0 10 0.3 0.3 0 56
196 104 0 15 0.3 0.3 0 56
181 119 0 20 0.3 0.3 0 56
177 123 0 25 0.3 0.3 0 56
177 123 0 30 0.3 0.3 0 56
196 104 0 35 0.3 0.3 0 56
194 106 0 40 0.3 0.3 0 56
192 108 0 45 0.3 0.3 0 56
181 119 0 50 0.3 0.3 0 56
183 117 0 55 0.3 0.3 0 56
157 143 0 60 0.3 0.3 0 56
190 110 0 65 0.3 0.3 0 56
197 103 0 70 0.3 0.3 0 56
181 119 0 75 0.3 0.3 0 56
175 125 0 80 0.3 0.3 0 56
188 112 0 85 0.3 0.3 0 56
172 128 0 90 0.3 0.3 0 56
185 115 0 95 0.3 0.3 0 56
192 108 0 100 0.3 0.3 0 56
193 107 0 105 0.3 0.3 0 56
192 108 0 110 0.3 0.3 0 56
191 109 0 115 0.3 0.3 0 56
177 123 0 120 0.3 0.3 0 56
191 109 0 125 0.3 0.3 0 56
175 125 0 130 0.3 0.3 0 56
177 123 0 135 0.3 0.3 0 56
196 104 0 140 0.3 0.3 0 56
167 133 0 145 0.3 0.3 0 56
300 0 0 0 0.3 0.3 0 61
183 117 0 5 0.3 0.3 0 61
174 126 0 10 0.3 0.3 0 61
191 109 0 15 0.3 0.3 0 61
187 113 0 20 0.3 0.3 0 61
